device_name_actual,school_name_official,gender,sch_psle,level
15276,Chung Cheng High School (Yishun),99.0,2.0,2
15312,Chung Cheng High School (Yishun),99.0,2.0,2
15334,Chung Cheng High School (Yishun),99.0,2.0,2
15359,Chung Cheng High School (Yishun),99.0,2.0,2
15375,Chung Cheng High School (Yishun),99.0,2.0,1
15381,Chung Cheng High School (Yishun),99.0,2.0,1
15432,Chung Cheng High School (Yishun),99.0,2.0,1
15481,Chung Cheng High School (Yishun),99.0,2.0,2
15488,Chung Cheng High School (Yishun),99.0,2.0,2
15608,Chung Cheng High School (Yishun),99.0,2.0,1
29290,Mayflower Secondary School,99.0,3.0,2
29467,Mayflower Secondary School,99.0,3.0,2
29470,Mayflower Secondary School,99.0,3.0,2
29475,Mayflower Secondary School,99.0,3.0,2
29478,Mayflower Secondary School,99.0,3.0,2
29481,Mayflower Secondary School,99.0,3.0,2
29482,Mayflower Secondary School,99.0,3.0,1
29483,Mayflower Secondary School,99.0,3.0,2
29484,Mayflower Secondary School,99.0,3.0,1
29485,Mayflower Secondary School,99.0,3.0,1
29488,Mayflower Secondary School,99.0,3.0,2
29489,Mayflower Secondary School,99.0,3.0,1
29490,Mayflower Secondary School,99.0,3.0,2
29492,Mayflower Secondary School,99.0,3.0,2
29496,Mayflower Secondary School,99.0,3.0,2
29498,Mayflower Secondary School,99.0,3.0,2
29499,Mayflower Secondary School,99.0,3.0,2
29502,Mayflower Secondary School,99.0,3.0,2
29505,Mayflower Secondary School,99.0,3.0,2
29507,Mayflower Secondary School,99.0,3.0,2
29511,Mayflower Secondary School,99.0,3.0,2
29513,Mayflower Secondary School,99.0,3.0,2
29514,Mayflower Secondary School,99.0,3.0,2
29523,Mayflower Secondary School,99.0,3.0,2
29527,Mayflower Secondary School,99.0,3.0,2
29532,Mayflower Secondary School,99.0,3.0,1
29533,Mayflower Secondary School,99.0,3.0,1
29537,Mayflower Secondary School,99.0,3.0,2
29541,Mayflower Secondary School,99.0,3.0,1
29542,Mayflower Secondary School,99.0,3.0,2
29548,Mayflower Secondary School,99.0,3.0,2
29549,Mayflower Secondary School,99.0,3.0,2
29551,Mayflower Secondary School,99.0,3.0,2
29557,Mayflower Secondary School,99.0,3.0,2
29563,Mayflower Secondary School,99.0,3.0,1
29564,Mayflower Secondary School,99.0,3.0,2
29565,Mayflower Secondary School,99.0,3.0,2
29567,Mayflower Secondary School,99.0,3.0,2
29577,Mayflower Secondary School,99.0,3.0,2
29580,Mayflower Secondary School,99.0,3.0,2
29581,Mayflower Secondary School,99.0,3.0,2
29586,Mayflower Secondary School,99.0,3.0,2
29588,Mayflower Secondary School,99.0,3.0,2
29595,Mayflower Secondary School,99.0,3.0,2
29598,Mayflower Secondary School,99.0,3.0,2
29604,Mayflower Secondary School,99.0,3.0,2
29607,Mayflower Secondary School,99.0,3.0,1
29608,Mayflower Secondary School,99.0,3.0,2
29609,Mayflower Secondary School,99.0,3.0,2
29610,Mayflower Secondary School,99.0,3.0,2
29611,Mayflower Secondary School,99.0,3.0,2
29613,Mayflower Secondary School,99.0,3.0,2
29617,Mayflower Secondary School,99.0,3.0,2
29621,Mayflower Secondary School,99.0,3.0,1
29622,Mayflower Secondary School,99.0,3.0,2
29624,Mayflower Secondary School,99.0,3.0,2
29629,Mayflower Secondary School,99.0,3.0,2
29638,Mayflower Secondary School,99.0,3.0,1
29644,Mayflower Secondary School,99.0,3.0,2
29645,Mayflower Secondary School,99.0,3.0,2
29646,Mayflower Secondary School,99.0,3.0,2
29650,Mayflower Secondary School,99.0,3.0,2
29651,Mayflower Secondary School,99.0,3.0,1
29652,Mayflower Secondary School,99.0,3.0,2
29658,Mayflower Secondary School,99.0,3.0,2
29660,Mayflower Secondary School,99.0,3.0,2
29662,Mayflower Secondary School,99.0,3.0,2
29665,Mayflower Secondary School,99.0,3.0,2
29668,Mayflower Secondary School,99.0,3.0,2
29670,Mayflower Secondary School,99.0,3.0,2
29672,Mayflower Secondary School,99.0,3.0,1
29679,Mayflower Secondary School,99.0,3.0,2
29683,Mayflower Secondary School,99.0,3.0,2
29690,Mayflower Secondary School,99.0,3.0,1
