website,category_1,confidence_1,category_2,confidence_2,error,status
vars.com,Automotive & Transportation,0.9603472352,Sports & Recreation,0.4154294729,FALSE,200
giphy.com,Community Sites,0.8299982548,Arts & Entertainment,0.5079317689,FALSE,200
timeanddate.com,Education/Reference,0.9590175748,News/Media,0.223638013,FALSE,200
suptraf.com,,,,,TRUE,410
insight.org,Religion & Spirituality,1,Arts & Entertainment,0.1689926386,FALSE,200
images.search.com,,,,,TRUE,410
starbucks.com.sg,Restaurants & Dining,0.890869379,Restaurants & Dining,0.2066248357,FALSE,200
geo-fs.com,Computers & Technology,0.9470252991,Gaming,0.126122579,FALSE,200
blox-fruits.com,Gaming,0.6689993143,Gaming,0.4702878892,FALSE,200
jimmymaths.com,Science,0.8613017797,Education/Reference,0.8489538431,FALSE,200
vercel.app,Web-based Applications,0.5407958031,Web-based Applications,0.3758665025,FALSE,200
snakes-3d.com,Gaming,0.8555771708,Gaming,0.7601235509,FALSE,200
asianhdplay.pro,,,,,TRUE,410
coursera.org,Education/Reference,0.618714571,Education/Reference,0.4499605894,FALSE,200
futbin.com,Sports & Recreation,0.9488294721,Sports & Recreation,0.8602474332,FALSE,200
cospaces.io,Education/Reference,0.3945670128,Computers & Technology,0.3032305241,FALSE,200
news.com,News/Media,0.8399171829,,,FALSE,200
symbaloo.com,Computers & Technology,0.5565466285,,,FALSE,200
cdc.gov,Health & Medicine,0.4142061472,Health & Medicine,0.3973482549,FALSE,200
livechat.com,Computers & Technology,0.95803684,Shopping,0.364770323,FALSE,200
nsg.edu.sg,,,,,TRUE,410
soruncg.com,,,,,TRUE,410
psaugourtauy.com,,,,,TRUE,411
wordhippo.com,Education/Reference,0.8782804608,Education/Reference,0.2507192791,FALSE,200
pramuwaskito.org,Web-based Applications,0.3388116658,,,FALSE,200
tecdo-ec.com,,,,,TRUE,410
soap2dayhd.co,Arts & Entertainment,0.8083051443,Arts & Entertainment,0.7906503677,FALSE,200
flat.io,Arts & Entertainment,1,Computers & Technology,0.5866366625,FALSE,200
thinkific.com,Education/Reference,0.663169682,Education/Reference,0.5125305653,FALSE,200
singaporetuitionteachers.com,Education/Reference,0.8514610529,Education/Reference,0.1359611601,FALSE,200
reedsy.com,Business,0.6737065315,Arts & Entertainment,0.6525439024,FALSE,200
animixplay.sc,,,,,TRUE,411
sololearn.com,Computers & Technology,0.6329213381,Computers & Technology,0.5204532743,FALSE,200
timeout.com,Education/Reference,0.4755491912,Arts & Entertainment,0.4283514321,FALSE,200
slack.com,Computers & Technology,1,,,FALSE,200
srx.com.sg,Real Estate,0.4874558449,Real Estate,0.4602563381,FALSE,200
dudialgator.com,,,,,TRUE,410
rvohealth.com,Health & Medicine,0.3558436632,Health & Medicine,0.3412124217,FALSE,200
pixton.com,Computers & Technology,0.5404171348,Arts & Entertainment,0.3791534603,FALSE,200
mathway.com,Science,0.950558126,Education/Reference,0.5618513823,FALSE,200
wizardingworld.com,Arts & Entertainment,0.8928878307,Arts & Entertainment,0.7694087029,FALSE,200
sync.go.com,,,,,TRUE,410
pubhtml5.com,Computers & Technology,0.5326856375,Business,0.4717133045,FALSE,200
vasstycom.com,,,,,TRUE,411
famousbirthdays.com,Arts & Entertainment,0.8766215444,Arts & Entertainment,0.8404111266,FALSE,200
onemap.gov.sg,,,,,TRUE,0
studywithme.io,,,,,TRUE,411
worldcubeassociation.org,Arts & Entertainment,0.4999318123,Gaming,0.1620387733,FALSE,200
pixel.watch,,,,,TRUE,410
royalroad.com,Computers & Technology,0.3628612757,Arts & Entertainment,0.2317174226,FALSE,200
02cscosgbuzl.top,,,,,TRUE,411
tiny.cc,Computers & Technology,0.3769795597,Web-based Applications,0.2450670153,FALSE,200
oceanofpdf.com,Computers & Technology,0.7017332911,Freeware/Software,0.328012377,FALSE,200
gamerant.com,Gaming,0.7541621923,,,FALSE,200
liveon.gov.sg,Religion & Spirituality,0.3871577084,Health & Medicine,0.3797515035,FALSE,200
scp-wiki.com,,,,,TRUE,410
rtb.com,,,,,TRUE,410
18clubasia.com,,,,,TRUE,410
topgames.com,Gaming,0.8555653691,Gaming,0.5978090763,FALSE,200
xiaoheimi.net,,,,,TRUE,411
python.org,Computers & Technology,0.934730947,,,FALSE,200
gomovies.sx,Arts & Entertainment,1,Arts & Entertainment,0.4127463102,FALSE,200
uob.com.sg,Financial Services,0.710013628,News/Media,0.2155941576,FALSE,200
